date,product,type,amount,price,shares,fee,notes
2026-05-11,008987,buy,15.0,2.162,6.94,0.0,定投
2026-05-12,008987,buy,20.0,2.1697,9.22,0.0,定投
2026-05-13,008987,buy,20.0,2.1695,9.22,0.0,定投
2026-05-14,008987,buy,20.0,2.1654,9.24,0.0,定投
2026-05-15,008987,buy,20.0,2.1147,9.46,0.0,定投
2026-05-18,008987,buy,20.0,2.1039,9.51,0.0,定投
2026-05-19,008987,buy,20.0,2.1032,9.51,0.0,定投
2026-05-20,008987,buy,20.0,2.0727,9.65,0.0,定投
2026-05-21,008987,buy,20.0,2.0917,9.56,0.0,定投
2026-05-22,008987,buy,20.0,2.0907,9.57,0.0,定投
2026-05-25,008987,buy,20.0,2.1022,9.51,0.0,定投
2026-05-26,008987,buy,20.0,2.09,9.57,0.0,定投
